"","code","study_num","year","age_group","location","country","groups","languages","mono_def_present","mono_definition","mono_concept","bi_concept","bi_def_present","bi_definition","bi_measure","cutoff_mono","cutoff_bi","attrition.n.","Data.collection","lab_home","citation","articles","if.comparing..diff."
"136",102,"1B",2014,"6mo","Not provided","Not provided","Monolinguals= 16
Bilinguals= 11","Was not provided","Present","For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with ≤ 10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","exposure","Exposure","Present","﻿For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with >10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","Language background questionnaire","90%","10%","17","idk","lab","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014). Does bilingual experience affect early visual perceptual development? Frontiers in Psychology, 5, 1–11. https://doi.org/10.3389/fpsyg.2014.01429","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","no"
"137",102,"2",2014,"6mo","Not provided","Not provided","Monolinguals= 5
Bilinguals= 8","Was not provided","Present","For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with ≤ 10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","exposure","Exposure","Present","﻿For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with >10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","Language background questionnaire","90%","10%","19","idk","lab","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014). Does bilingual experience affect early visual perceptual development? Frontiers in Psychology, 5, 1–11. https://doi.org/10.3389/fpsyg.2014.01429","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","no"
"138",102,"3",2014,"3mo-15mo","Not provided","Not provided","Monolinguals= 19
Bilinguals= 22","Was not provided","Present","For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with ≤ 10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","exposure","Exposure","Present","﻿For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with >10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","Language background questionnaire","90%","10%","29","idk","lab","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014). Does bilingual experience affect early visual perceptual development? Frontiers in Psychology, 5, 1–11. https://doi.org/10.3389/fpsyg.2014.01429","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","no"
"139",103,"1",2017,"15mo","Barcelona, Spain","Spain","Monolinguals= 40
Bilinguals= 40","Catalan-Spanish","Present","Monolingual infants were exposed to Catalan or Spanish at least 85% of the time.","exposure","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","85%","None","39","idk","lab","Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018). Impact of Bilingualism on Infants’ Ability to Learn From Talking and Nontalking Faces. Language Learning, 68, 31–57. https://doi.org/10.1111/lang.12273","Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018)","kinda"
"140",103,"2",2017,"18mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 20","Catalan-Spanish","NA","999","999","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","85%","None","4","idk","lab","Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018). Impact of Bilingualism on Infants’ Ability to Learn From Talking and Nontalking Faces. Language Learning, 68, 31–57. https://doi.org/10.1111/lang.12273","Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018)","999"
"141",104,"1",1997,"4mo-18mo","Not provided","Not provided","Monolinguals= 30
Bilinguals= 22","English-Other","Present","The monolingual infants were reared in homes where both parents as well as all siblings and other caretakers spoke the same language natively (in almost every case that language was English).","caregivers status","Caregivers Status","Present","﻿bilingual infants were reared in homes where there was substantial exposure to both English and Spanish due to the fact that among the consistently present caretakers one or more were native speakers of English and one or more were native speakers of Spanish.","no specified","None","None","idk","idk","lab","Kimbrough, O. D., Eilers, R. E., Urbano, R., & Cobo-Lewis, A. B. (1997). Development of precursors to speech in infants exposed to two languages. Journal of Child Language, 24(2), 407–425. https://doi.org/10.1017/s0305000997003097","Kimbrough, O. D., Eilers, R. E., Urbano, R., & Cobo-Lewis, A. B. (1997)","no"
"142",105,"1",1997,"4mo-30mo","Florida (Miami), United States","United States","Monolinguals= 0
Bilinguals= 25","English-Spanish","NA","999","999","Caregivers Status","Present","﻿being reared in English-Spanish bilingual homes","Language background questionnaire","NA","None","","idk","lab","Pearson, B. Z., Fernandez, S. C., Lewedeg, V., & Oller, D. K. (1997). The relation of input factors to lexical learning by bilingual infants. Applied Psycholinguistics, 18(1), 41–58. https://doi.org/10.1017/s0142716400009863","Pearson, B. Z., Fernandez, S. C., Lewedeg, V., & Oller, D. K. (1997)","999"
"143",106,"1",1995,"8mo-30mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 27","English-Spanish","NA","999","999","Caregivers Status","Present","﻿being reared in English-Spanish bilingual homes","Language background questionnaire","NA","None","","idk","lab","Pearson, B. Z., Fernandez, S., & Oller, D. K. (1995). Cross-language synonyms in the lexicons of bilingual infants: One language or two? Journal of Child Language, 22(2), 345–368. https://doi.org/10.1017/S030500090000982X","Pearson, B. Z., Fernandez, S., & Oller, D. K. (1995)","999"
"144",107,"1",1993,"8mo-30mo","Not provided","Not provided","Monolinguals= 35
Bilinguals= 25","English-Spanish","Present","reared in monolingual homes","caregivers status","Caregivers Status","Present","﻿being reared in English-Spanish bilingual homes","Language background questionnaire","None","None","","idk","lab","Pearson, B. Z., Fernández, S. C., & Oller, D. K. (1993). Lexical Development in Bilingual Infants and Toddlers: Comparison to Monolingual Norms. Language Learning, 43(1), 93–120. https://doi.org/10.1111/j.1467-1770.1993.tb00174.x","Pearson, B. Z., Fernández, S. C., & Oller, D. K. (1993)","no"
"145",108,"1",2014,"28mo-32mo","East Kent & Birmingham, United Kingdom","United Kingdom","Monolinguals= 36
Bilinguals= 35","English-Other","Present","Children exposed to only English","exposure","Exposure","Not Present","Children exposed to not only English. Excluded if ﻿their parents rated them as having nearly 100% input in one language.","own questionnaire","None","None","15","idk","home","Cattani, A., Abbot-Smith, K., Farag, R., Krott, A., Arreckx, F., Dennis, I., & Floccia, C. (2014). How much exposure to English is necessary for a bilingual toddler to perform like a monolingual peer in language tests? International Journal of Language and Communication Disorders, 49(6), 649–671. https://doi.org/10.1111/1460-6984.12082","Cattani, A., Abbot-Smith, K., Farag, R., Krott, A., Arreckx, F., Dennis, I., & Floccia, C. (2014)","yes"
"146",109,"1",2014,"20mo","Buenos Aires, Argentina; Seoul, South Korea; & United States","Argentina,South Korea,United States","Monolinguals= 140
Bilinguals= 90","English-Other","Present","Parents said that their child was not growing up bilingual but learning the dominant language of their community","caregivers status","Exposure","Present","﻿children were simultaneously learning two languages from birth, meaning that children’s exposure to their less-frequently-heard language constituted at least 10% of their total linguistic input based on caregiver report","single question","100%","10%","idk","idk","idk","Cote, L. R., & Bornstein, M. H. (2014). Productive vocabulary among three groups of bilingual American children: Comparison and prediction. First Language, 34(6), 467–485. https://doi.org/10.1177/0142723714560178","Cote, L. R., & Bornstein, M. H. (2014)","yes"
"147",110,"1",2002,"21mo-27mo","New Mexico (Albuquerque), United States","United States","Monolinguals= 0
Bilinguals= 64","English-Spanish","NA","999","999","Exposure","Present","﻿English and Spanish were spoken in each child’s home, and the children were spoken to in each language a minimum of 25% of the time, based on parental report.","single question","NA","25%","0","idk","idk","Patterson, J. L. (2002). Relationships of expressive vocabulary to frequency of reading and television experience among bilingual toddlers. Applied Psycholinguistics, 23(4), 493–508. https://doi.org/10.1017/S0142716402004010","Patterson, J. L. (2002)","999"
"148",111,"1",2017,"20mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 24","French-English","NA","999","999","Exposure","Present","﻿they were exposed to both English and French regularly from birth, heard each language 25–75% of the time, and had no systematic exposure to a third language.","own questionnaire","NA","25%","13","idk","lab","Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017). Bilingual infants control their languages as they listen. Proceedings of the National Academy of Sciences of the United States of America, 114(34), 9032–9037. https://doi.org/10.1073/pnas.1703220114","Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017)","999"
"149",111,"3",2017,"20mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 24","French-English","NA","999","999","Exposure","Present","they were exposed to both English and French regularly from birth, heard each language 25–75% of the time, and had no systematic exposure to a third language.","own questionnaire","NA","25%","15","idk","lab","Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017). Bilingual infants control their languages as they listen. Proceedings of the National Academy of Sciences of the United States of America, 114(34), 9032–9037. https://doi.org/10.1073/pnas.1703220114","Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017)","999"
"150",112,"1",2017,"24mo","Singapore, Singapore","Singapore","Monolinguals= 131
Bilinguals= 169","English-Other","Present","Classified as monolingual if exposure to a single language ≥ 80%.","exposure","Exposure","Present","﻿Classified as bilingual if exposure to a single language is < 80%. Subclassifications were also given","single question","80%","20%","55","idk","idk","Goh, S. K. Y., Tham, E. K. H., Magiati, I., Litwee, S., Sanmugam, S., Qiu, A., … Rifkin-Graboi, A. (2017). Analysis of Item-Level Bias in the Bayley-III Language Subscales: The Validity and Utility of Standardized Language Assessment in a Multilingual Setting Shaun. Journal of Speech, Language & Hearing Research, 60(September), 1–9.","Goh, S. K. Y., Tham, E. K. H., Magiati, I., Litwee, S., Sanmugam, S., Qiu, A., … Rifkin-Graboi, A. (2017)","no"
"151",113,"1",2017,"24mo-27mo","Malta","Malta","Monolinguals= 0
Bilinguals= 33","English-Maltese","NA","999","999","Caregivers Status","Present","Maltese-dominant home language exposure criterion in their information letters and were required to confirm this by ticking the relevant statement on the consent form they signed.","Questionnaire for Parents of Bilingual Children: Infants and Toddlers Version (PaBiQ-IT)","NA","None","idk","idk","mail","Gatt, D. (2017). Bilingual vocabulary production in young children receiving Maltese-dominant exposure: individual differences and the influence of demographic and language exposure factors. International Journal of Bilingual Education and Bilingualism, 20(2), 163–182. https://doi.org/10.1080/13670050.2016.1179255","Gatt, D. (2017)","999"
"152",114,"1",2016,"17mo","Québec (Montréal), Canada & California (San Diego), United States","Canada,United States","Monolinguals= 0
Bilinguals= 98","French-English & English-Spanish","NA","999","999","Exposure","Present","﻿we selected participants with no more than 80% exposure to one of the input languages, so that exposure to the other language was at least 20%.","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","NA","20%","3","idk","lab","DeAnda, S., Bosch, L., Poulin-Dubois, D., Zesiger, P., & Friend, M. (2016). The Language Exposure Assessment Tool: Quantifying Language Exposure in Infants and Children. Journal of Speech, Language & Hearing Research, 59(6), 1-1346–1356. https://doi.org/10.1044/2016","DeAnda, S., Bosch, L., Poulin-Dubois, D., Zesiger, P., & Friend, M. (2016)","999"
"153",115,"1",2013,"8mo","Not provided","Not provided","Monolinguals= 36
Bilinguals= 18","Catalan-Spanish","Present","To be included in a monolingual group, participants had at least 75% of regular exposure to either Catalan or Spanish","exposure","Exposure","Present","To be included in a bilingual group, participants had a more balanced regular exposure to either Catalan or Spanish","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","75%","None","14","idk","lab","Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013). Rapid gains in segmenting fluent speech when words match the rhythmic unit: Evidence from infants acquiring syllable-timed languages. Frontiers in Psychology, 4(MAR), 1–12. https://doi.org/10.3389/fpsyg.2013.00106","Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013)","no"
"154",115,"2",2013,"6mo","Not provided","Not provided","Monolinguals= 36
Bilinguals= 18","Catalan-Spanish","Present","To be included in a monolingual group, participants had at least 75% of regular exposure to either Catalan or Spanish","exposure","Exposure","Present","To be included in a bilingual group, participants had a more balanced regular exposure to either Catalan or Spanish","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","75%","None","29","idk","lab","Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013). Rapid gains in segmenting fluent speech when words match the rhythmic unit: Evidence from infants acquiring syllable-timed languages. Frontiers in Psychology, 4(MAR), 1–12. https://doi.org/10.3389/fpsyg.2013.00106","Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013)","no"
"155",116,"1",2014,"7mo, 11mo, 14mo, 18mo, 24mo, & 36mo","Finland","Finland","Monolinguals= 26
Bilinguals= 28","Finish-Russian","Present","Both mothers and fathers had to be Finnish native speakers (monolinguals)","caregivers status","Caregivers Status","Present","Mothers would be Finnish or Russian native speakers but fathers could only be Finnish native speakers","own questionnaire","None","None","0","idk","lab","Silvén, M., Voeten, M., Kouvo, A., & Lundén, M. (2014). Speech perception and vocabulary growth: A longitudinal study of Finnish-Russian bilinguals and Finnish monolinguals from infancy to three years. International Journal of Behavioral Development, 38(4), 323–332. https://doi.org/10.1177/0165025414533748","Silvén, M., Voeten, M., Kouvo, A., & Lundén, M. (2014)","yes"
"156",117,"1",2013,"22mo-30mo","United States","United States","Monolinguals= 0
Bilinguals= 50","English-Mandarin","NA","999","999","Exposure","Not Present","not present","single question","NA","None","67","idk","lab","Xuan, L., & Dollaghan, C. (2013). Language-specific noun bias: Evidence from bilingual children. Journal of Child Language, 40(5), 1057–1075. https://doi.org/10.1017/S0305000912000529","Xuan, L., & Dollaghan, C. (2013)","999"
"157",118,"1",2006,"19mo-31mo","California (San Diego, United States","United States","Monolinguals= 0
Bilinguals= 64","English-Spanish","NA","999","999","Exposure","Present","Exposure to English and Spanish before 6months of age and min 10hr of exposure to each language","Parent language survey (Conboy, 2002)","NA","10hrs","idk","idk","idk","Conboy, B. T., & Thal, D. J. (2006). Ties between the lexicon and grammar: Cross-sectional and longitudinal studies of bilingual toddlers. Child Development, 77(3), 712–735. https://doi.org/10.1111/j.1467-8624.2006.00899.x","Conboy, B. T., & Thal, D. J. (2006)","999"
"158",119,"1",2004,"17mo-30mo","United States","United States","Monolinguals= 0
Bilinguals= 113","English-Spanish","NA","999","999","Exposure","Present","All participants had been regularly exposed to both English and Spanish, typically from birth, and were reported to produce at least a few words in each language.","own questionnaire","NA","None","idk","idk","lab","Marchman, V. A., Martínez-Sussmann, C., & Dale, P. S. (2004). The language-specific nature of grammatical development: Evidence from bilingual language learners. Developmental Science, 7(2), 212–224. https://doi.org/10.1111/j.1467-7687.2004.00340.x","Marchman, V. A., Martínez-Sussmann, C., & Dale, P. S. (2004)","999"
"159",120,"1",1999,"21mo-27mo","New Mexico (Albuquerque & El Paso), United States","United States","Monolinguals= 0
Bilinguals= 102","English-Spanish","NA","999","999","Exposure","Present","each child was exposed to each language (English and Spanish) a minimum of 8 hours a week based on parent report","no specified","NA","8hrs","idk","idk","anywhere","Patterson, J. L. (1999). What bilingual toddlers hear and say: Language input and word combinations. Communication Disorders Quarterly, 21(1), 32–38. https://doi.org/10.1177/152574019902100105","Patterson, J. L. (1999)","999"
"160",121,"1",2020,"6mo-7mo & 11mo-12mo","Basque Country","Basque Country","Monolinguals= 0
Bilinguals= 93","Basque-Spanish","NA","999","999","Exposure","Not Present","idk","own questionnaire","NA","None","63","idk","lab","Larraza, S., Molnar, M., & Samuel, A. G. (2020). Phonemic contrasts under construction? Evidence from Basque. Infancy, 25(3), 304–318. https://doi.org/10.1111/infa.12330","Larraza, S., Molnar, M., & Samuel, A. G. (2020)","999"
"161",122,"1",2019,"10mo","Québec, Canada","Canada","Monolinguals= 0
Bilinguals= 21","French-English","NA","999","999","Can't be determined","Not Present","idk","Language background interview  (Byers- Heinlein et al., 2019)","NA","None","idk","idk","lab/home","Orena, A. J., Byers-Heinlein, K., & Polka, L. (2019). Reliability of the language environment analysis recording system in analyzing french–english bilingual speech. Journal of Speech, Language, and Hearing Research, 62(7), 2491–2500. https://doi.org/10.1044/2019_JSLHR-L-18-0342","Orena, A. J., Byers-Heinlein, K., & Polka, L. (2019)","999"
"162",123,"1",2019,"2mo-5mo","Martinique, France","France","Monolinguals= 0
Bilinguals= 14","French-Créole","NA","999","999","Caregivers Status","Not Present","mothers are bilingual","no specified","NA","None","4","idk","home","Augier, M., & Gratier, M. (2019). L’engagement social du bébé bilingue en situation de diglossie à la Martinique : e?fet du statut des langues. Enfance, 2019(2), 265–285.","Augier, M., & Gratier, M. (2019)","999"
"163",124,"1",2018,"4mo-6mo, 7mo-9mo, & 10mo-13mo","New South Wales (Greater Sydney Region), Australia","Australia","Monolinguals= 71
Bilinguals= 14","English-Other","Not Present","not present","idk","Can't be determined","Not Present","not present","no specified","None","None","6","lasted 20 months","idk","Cantle Moore, R., & Colyvas, K. (2018). The Infant Monitor of vocal Production (IMP) normative study: Important foundations. Deafness and Education International, 20(3–4), 228–244. https://doi.org/10.1080/14643154.2018.1483098","Cantle Moore, R., & Colyvas, K. (2018)","no"
"164",125,"1",2020,"12mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 10","English-Spanish","NA","999","999","Exposure","Present","﻿only if they were learning both languages at home and their daily language input was at least 20%, but no more than 80% in Spanish","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","20%","idk","idk","lab","Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020). Exposure to a second language in infancy alters speech production. Bilingualism, 1–14. https://doi.org/10.1017/S1366728919000853","Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020)","999"
"165",125,"1,2,3",2020,"12mo","Not provided","Not provided","Monolinguals= 20
Bilinguals= 10","English-Spanish","Present","only if they received more than 95% exposure to English","exposure","Exposure","Present","﻿only if they were learning both languages at home and their daily language input was at least 20%, but no more than 80% in Spanish","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","95% (100% for SPN group)","20%","6","idk","lab","Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020). Exposure to a second language in infancy alters speech production. Bilingualism, 1–14. https://doi.org/10.1017/S1366728919000853","Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020)","yes"
"166",126,"1",2019,"11mo","Paris, France","France","Monolinguals= 0
Bilinguals= 58","French-Other","NA","999","999","Exposure","Not Present","Exposed to both French and additional language","Language Environment Questionnaire (Carbajal & Peperkamp, 2019)","NA","None","25","idk","both","Carbajal, M. J., & Peperkamp, S. (2020). Dual language input and the impact of language separation on early lexical development. Infancy, 25(1), 22–45. https://doi.org/10.1111/infa.12315","Carbajal, M. J., & Peperkamp, S. (2020)","999"
"167",127,"1",2019,"10mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 21","French-English","NA","999","999","Exposure","Present","﻿We recruited infants who heard both French and English between 25% and 75% of the time, without exposure to another language more than 10% of the time. We","Adapted from  Bosch & Sebastián‐Gallés, 2001; DeAnda et al., 2016 + LENA","NA","25%","idk","idk","lab/home","Orena, A. J., Byers-Heinlein, K., & Polka, L. (2020). What do bilingual infants actually hear? Evaluating measures of language input to bilingual-learning 10-month-olds. Developmental Science, 23(2), 1–14. https://doi.org/10.1111/desc.12901","Orena, A. J., Byers-Heinlein, K., & Polka, L. (2020)","999"
